cid,g,a,d,i,cl
B,U,1,12,144,0
B,U,1,13,211,0
B,U,1,14,203,2
B,U,1,15,184,3
B,U,1,16,141,1
B,U,1,17,229,2
B,U,1,18,263,3
B,U,1,19,323,1
B,U,1,20,371,1
B,U,1,21,144,0
B,U,1,22,264,2
B,U,1,23,203,2
B,U,1,24,165,1
B,U,1,25,187,2
B,U,1,26,277,3
B,U,1,27,156,2
B,U,1,28,105,0
B,U,1,29,119,1
B,U,1,30,1,0
B,U,2,1,38,2
B,U,2,2,9,0
B,U,2,4,72,0
B,U,2,5,91,0
B,U,2,6,127,1
B,U,2,7,108,0
B,U,2,8,31,0
B,U,2,9,124,1
B,U,2,10,131,1
B,U,2,11,185,0
B,U,2,12,155,2
B,U,2,13,202,1
B,U,2,14,265,4
B,U,2,15,178,2
B,U,2,16,174,2
B,U,2,17,240,4
B,U,2,18,292,4
B,U,2,19,315,2
B,U,2,20,392,6
B,U,2,21,161,1
B,U,2,22,290,2
B,U,2,23,177,1
B,U,2,24,196,0
B,U,2,25,190,2
B,U,2,26,237,0
B,U,2,27,161,0
B,U,2,28,112,0
B,U,2,29,135,1
B,U,2,30,1,0
B,U,3,1,28,0
B,U,3,2,5,0
B,U,3,4,82,3
B,U,3,5,55,0
B,U,3,6,109,1
B,U,3,7,89,0
B,U,3,8,25,1
B,U,3,9,98,2
B,U,3,10,101,1
B,U,3,11,160,0
B,U,3,12,143,2
B,U,3,13,160,2
B,U,3,14,195,1
B,U,3,15,157,0
B,U,3,16,140,1
B,U,3,17,197,3
B,U,3,18,239,0
B,U,3,19,284,0
B,U,3,20,335,6
B,U,3,21,152,0
B,U,3,22,264,4
B,U,3,23,164,0
B,U,3,24,176,2
B,U,3,25,175,1
B,U,3,26,200,2
B,U,3,27,157,0
B,U,3,28,105,0
B,U,3,29,107,1
B,U,4,1,39,1
B,U,4,2,4,0
B,U,4,4,102,1
B,U,4,5,76,1
B,U,4,6,122,1
B,U,4,7,77,1
B,U,4,8,31,0
B,U,4,9,97,0
B,U,4,10,108,0
B,U,4,11,174,1
B,U,4,12,140,2
B,U,4,13,148,2
B,U,4,14,205,1
B,U,4,15,165,1
B,U,4,16,163,1
B,U,4,17,195,1
B,U,4,18,269,1
B,U,4,19,278,1
B,U,4,20,348,1
B,U,4,21,134,1
B,U,4,22,295,1
B,U,4,23,182,1
B,U,4,24,164,0
B,U,4,25,184,2
B,U,4,26,198,1
B,U,4,27,121,0
B,U,4,28,102,0
B,U,4,29,110,0
B,U,5,1,60,0
B,U,5,2,8,0
B,U,5,4,155,0
B,U,5,5,166,2
B,U,5,6,172,1
B,U,5,7,167,2
B,U,5,8,60,0
B,U,5,9,178,0
B,U,5,10,194,0
B,U,5,11,303,1
B,U,5,12,245,0
B,U,5,13,269,3
B,U,5,14,311,2
B,U,5,15,277,0
B,U,5,16,264,2
B,U,5,17,411,1
B,U,5,18,472,0
B,U,5,19,499,4
B,U,5,20,614,2
B,U,5,21,222,0
B,U,5,22,424,2
B,U,5,23,255,3
B,U,5,24,281,2
B,U,5,25,323,1
B,U,5,26,360,1
B,U,5,27,239,1
B,U,5,28,160,1
B,U,5,29,206,1
B,U,6,1,115,0
B,U,6,2,25,0
B,U,6,4,284,2
B,U,6,5,246,2
B,U,6,6,337,3
B,U,6,7,293,2
B,U,6,8,107,1
B,U,6,9,329,3
B,U,6,10,335,0
B,U,6,11,555,5
B,U,6,12,433,2
B,U,6,13,458,1
B,U,6,14,646,9
B,U,6,15,502,3
B,U,6,16,457,5
B,U,6,17,674,4
B,U,6,18,826,1
B,U,6,19,887,5
B,U,6,20,1056,8
B,U,6,21,401,3
B,U,6,22,764,4
B,U,6,23,501,4
B,U,6,24,538,2
B,U,6,25,527,3
B,U,6,26,658,7
B,U,6,27,447,5
B,U,6,28,319,3
B,U,6,29,367,0
B,U,6,30,3,0
B,U,U,1,221,1
B,U,U,2,45,0
B,U,U,4,580,3
B,U,U,5,498,2
B,U,U,6,610,1
B,U,U,7,591,5
B,U,U,8,230,1
B,U,U,9,659,8
B,U,U,10,662,4
B,U,U,11,983,8
B,U,U,12,890,7
B,U,U,13,1018,8
B,U,U,14,1286,9
B,U,U,15,1055,5
B,U,U,16,926,5
B,U,U,17,1311,4
B,U,U,18,1586,8
B,U,U,19,1818,10
B,U,U,20,2191,16
B,U,U,21,880,2
B,U,U,22,1603,11
B,U,U,23,1013,6
B,U,U,24,1187,11
B,U,U,25,1045,3
B,U,U,26,1284,6
B,U,U,27,927,9
B,U,U,28,596,3
B,U,U,29,674,2
B,U,U,30,4,0
D,F,1,1,4,0
D,F,1,2,2,0
D,F,1,4,10,0
D,F,1,5,6,0
D,F,1,6,10,0
D,F,1,7,10,0
D,F,1,8,5,0
D,F,1,9,18,0
D,F,1,10,15,0
D,F,1,11,20,0
D,F,1,12,22,0
D,F,1,13,15,0
D,F,1,14,19,0
D,F,1,15,18,0
D,F,1,16,23,0
D,F,1,17,29,0
D,F,1,18,27,0
D,F,1,19,34,0
D,F,1,20,51,1
D,F,1,21,21,0
D,F,1,22,24,0
D,F,1,23,17,0
D,F,1,24,24,0
D,F,1,25,19,0
D,F,1,26,23,0
D,F,1,27,21,0
D,F,1,28,16,1
D,F,1,29,18,1
D,F,2,1,8,0
D,F,2,2,2,0
D,F,2,4,11,0
